Date,High
2012-01-01,301239
2012-01-02,432418
2012-01-03, 124353
2012-01-04, 765432
2012-01-05, 312515
2012-01-06, 452564
2012-01-07, 123412
2012-01-08, 141251
2012-01-09, 123413
2012-01-10, 123413
2012-01-11, 123413
2012-01-12, 123413
2012-01-13, 123413
2012-01-14, 123413
2012-01-15, 123413
2012-01-16, 123413
2012-01-17, 123413
2012-01-18, 123413
2012-01-19, 123413
2012-01-20, 123413
2012-01-21, 123413
2012-01-22, 123413
2012-01-23, 123413
2012-01-24, 123413
2012-01-25, 123413
2012-01-26, 123413
2012-01-27, 123413
2012-01-28, 123413
2012-01-29, 123413
2012-01-30, 123413
2012-01-31, 123413
2012-02-01, 123413
2012-02-02, 123413
