day	hour	value	ip	port
1	1	132	129.432.123.3	80
1	2	734	129.432.123.3	8080
1	3	522	129.432.123.3	8000
1	4	648	129.432.123.3	7000
1	5	109	129.432.123.3	9000
1	6	238	129.432.123.3	8888
1	7	819	129.432.123.3	80
1	8	285	129.432.123.3	8080
1	9	706	129.432.123.3	8000
1	10	645	129.432.123.3	7000
1	11	855	129.432.123.3	9000
1	12	73	129.432.123.3	8888
2	1	593	129.987.123.422	80
2	2	937	129.987.123.422	8080
2	3	214	129.987.123.422	8000
2	4	278	129.987.123.422	7000
2	5	337	129.987.123.422	9000
2	6	681	129.987.123.422	8888
2	7	738	129.987.123.422	80
2	8	714	129.987.123.422	8080
2	9	204	129.987.123.422	8000
2	10	364	129.987.123.422	7000
2	11	194	129.987.123.422	9000
2	12	98	129.987.123.422	8888
3	1	654	987.654.432.123	80
3	2	443	987.654.432.123	8080
3	3	990	987.654.432.123	8000
3	4	753	987.654.432.123	7000
3	5	196	987.654.432.123	9000
3	6	416	987.654.432.123	8888
3	7	166	987.654.432.123	80
3	8	444	987.654.432.123	8080
3	9	124	987.654.432.123	8000
3	10	386	987.654.432.123	7000
3	11	903	987.654.432.123	9000
3	12	526	987.654.432.123	8888
4	1	840	456.423.0.124	80
4	2	187	456.423.0.124	8080
4	3	35	456.423.0.124	8000
4	4	74	456.423.0.124	7000
4	5	433	456.423.0.124	9000
4	6	374	456.423.0.124	8888
4	7	671	456.423.0.124	80
4	8	148	456.423.0.124	8080
4	9	561	456.423.0.124	8000
4	10	451	456.423.0.124	7000
4	11	716	456.423.0.124	9000
4	12	360	456.423.0.124	8888
5	1	179	126.674.234.543	80
5	2	88	126.674.234.543	8080
5	3	110	126.674.234.543	8000
5	4	352	126.674.234.543	7000
5	5	441	126.674.234.543	9000
5	6	431	126.674.234.543	8888
5	7	573	126.674.234.543	80
5	8	997	126.674.234.543	8080
5	9	679	126.674.234.543	8000
5	10	171	126.674.234.543	7000
5	11	245	126.674.234.543	9000
5	12	995	126.674.234.543	8888
6	1	483	129.432.123.3	80
6	2	960	129.432.123.3	8080
6	3	249	129.432.123.3	8000
6	4	372	129.432.123.3	7000
6	5	363	129.432.123.3	9000
6	6	905	129.432.123.3	8888
6	7	443	129.432.123.3	80
6	8	606	129.432.123.3	8080
6	9	175	129.432.123.3	8000
6	10	411	129.432.123.3	7000
6	11	45	129.432.123.3	9000
6	12	750	129.432.123.3	8888
7	1	533	129.987.123.422	80
7	2	415	129.987.123.422	8080
7	3	769	129.987.123.422	8000
7	4	154	129.987.123.422	7000
7	5	545	129.987.123.422	9000
7	6	48	129.987.123.422	8888
7	7	856	129.987.123.422	80
7	8	802	129.987.123.422	8080
7	9	83	129.987.123.422	8000
7	10	390	129.987.123.422	7000
7	11	750	129.987.123.422	9000
7	12	650	129.987.123.422	8888
8	1	880	987.654.432.123	80
8	2	504	987.654.432.123	8080
8	3	124	987.654.432.123	8000
8	4	390	987.654.432.123	7000
8	5	470	987.654.432.123	9000
8	6	18	987.654.432.123	8888
8	7	476	987.654.432.123	80
8	8	462	987.654.432.123	8080
8	9	256	987.654.432.123	8000
8	10	965	987.654.432.123	7000
8	11	191	987.654.432.123	9000
8	12	700	987.654.432.123	8888
9	1	473	456.423.0.124	80
9	2	831	456.423.0.124	8080
9	3	392	456.423.0.124	8000
9	4	447	456.423.0.124	7000
9	5	815	456.423.0.124	9000
9	6	926	456.423.0.124	8888
9	7	755	456.423.0.124	80
9	8	427	456.423.0.124	8080
9	9	932	456.423.0.124	8000
9	10	965	456.423.0.124	7000
9	11	199	456.423.0.124	9000
9	12	925	456.423.0.124	8888
10	1	280	126.674.234.543	80
10	2	420	126.674.234.543	8080
10	3	486	126.674.234.543	8000
10	4	867	126.674.234.543	7000
10	5	146	126.674.234.543	9000
10	6	745	126.674.234.543	8888
10	7	648	126.674.234.543	80
10	8	941	126.674.234.543	8080
10	9	791	126.674.234.543	8000
10	10	214	126.674.234.543	7000
10	11	69	126.674.234.543	9000
10	12	529	126.674.234.543	8888
11	1	417	129.432.123.3	80
11	2	608	129.432.123.3	8080
11	3	695	129.432.123.3	8000
11	4	262	129.432.123.3	7000
11	5	327	129.432.123.3	9000
11	6	993	129.432.123.3	8888
