Date,Comparison_Type
2012-01-01,13373369
2012-01-02,22626428
2012-01-03,27109766
2012-01-04,28575787
2012-01-05,29687549
2012-01-06,28469323
2012-01-07,22369654
2012-01-08,29341041
2012-01-09,39881752
2012-01-10,39560699
2012-01-11,39730915
2012-01-12,37831460
2012-01-13,32965804
2012-01-14,24204410
2012-01-15,27633579
2012-01-16,39411562
2012-01-17,37933138
2012-01-18,44250006
2012-01-19,33578752
2012-01-20,33674982
2012-01-21,24199101
2012-01-22,28310365
2012-01-23,38506122
2012-01-24,40256969
2012-01-25,39900311
2012-01-26,37905897
2012-01-27,33162024
2012-01-28,25285047
2012-01-29,27684370
2012-01-30,38877201
2012-01-31,39762063
2012-02-01,62974388
2012-02-02,65701600
2012-02-03,72512016
2012-02-04,66033845
2012-02-05,68469436
2012-02-06,78512294
2012-02-07,73173335
