"day	hour	value	ip	port"
"1	1	801	129.432.123.3	80"
"2	1	504	129.432.123.3	8080"
"3	1	918	129.432.123.3	8000"
"4	1	885	129.432.123.3	7000"
"5	1	863	129.432.123.3	9000"
"6	1	359	129.432.123.3	8888"
"7	1	730	129.432.123.3	80"
"1	2	288	129.987.123.422	80"
"2	2	695	129.987.123.422	8080"
"3	2	932	129.987.123.422	8000"
"4	2	730	129.987.123.422	7000"
5 2 730 129.987.123.422 9000
"6	2	400	129.987.123.422	8888"
"7	2	668	129.987.123.422	80"
"1	3	56	987.654.432.123	80"
"2	3	311	987.654.432.123	8080"
"3	3	628	987.654.432.123	8000"
"4	3	525	987.654.432.123	7000"
"5	3	761	987.654.432.123	9000"
"6	3	128	987.654.432.123	8888"
"7	3	156	987.654.432.123	80"
"1	4	591	456.423.0.124	80"
"2	4	314	456.423.0.124	8080"
"3	4	979	456.423.0.124	8000"
"4	4	891	456.423.0.124	7000"
"5	4	595	456.423.0.124	9000"
"6	4	657	456.423.0.124	8888"
"7	4	672	456.423.0.124	80"
"1	5	469	126.674.234.543	80"
"2	5	592	126.674.234.543	8080"
"3	5	8	126.674.234.543	8000"
"4	5	335	126.674.234.543	7000"
"5	5	551	126.674.234.543	9000"
"6	5	170	126.674.234.543	8888"
"7	5	278	126.674.234.543	80"
"1	6	302	129.432.123.3	80"
"2	6	103	129.432.123.3	8080"
"3	6	34	129.432.123.3	8000"
"4	6	463	129.432.123.3	7000"
"5	6	740	129.432.123.3	9000"
"6	6	137	129.432.123.3	8888"
"7	6	899	129.432.123.3	80"
"1	7	425	129.987.123.422	80"
"2	7	922	129.987.123.422	8080"
"3	7	452	129.987.123.422	8000"
"4	7	470	129.987.123.422	7000"
"5	7	474	129.987.123.422	9000"
"6	7	372	129.987.123.422	8888"
"7	7	541	129.987.123.422	80"
"1	8	434	987.654.432.123	80"
"2	8	786	987.654.432.123	8080"
"3	8	934	987.654.432.123	8000"
"4	8	106	987.654.432.123	7000"
"5	8	214	987.654.432.123	9000"
"6	8	828	987.654.432.123	8888"
"7	8	636	987.654.432.123	80"
"1	9	970	456.423.0.124	80"
"2	9	899	456.423.0.124	8080"
"3	9	529	456.423.0.124	8000"
"4	9	153	456.423.0.124	7000"
"5	9	956	456.423.0.124	9000"
"6	9	771	456.423.0.124	8888"
"7	9	0	456.423.0.124	80"
"1	10	368	126.674.234.543	80"
"2	10	549	126.674.234.543	8080"
"3	10	400	126.674.234.543	8000"
"4	10	369	126.674.234.543	7000"
"5	10	388	126.674.234.543	9000"
"6	10	463	126.674.234.543	8888"
"7	10	423	126.674.234.543	80"
"1	11	439	129.432.123.3	80"
"2	11	699	129.432.123.3	8080"
"3	11	389	129.432.123.3	8000"
"4	11	871	129.432.123.3	7000"
"5	11	231	129.432.123.3	9000"
"6	11	158	129.432.123.3	8888"
"7	11	867	129.432.123.3	80"
"1	12	933	129.987.123.422	80"
"2	12	227	129.987.123.422	8080"
"3	12	979	129.987.123.422	8000"
"4	12	374	129.987.123.422	7000"
"5	12	367	129.987.123.422	9000"
"6	12	363	129.987.123.422	8888"
"7	12	591	129.987.123.422	80"
"1	13	204	987.654.432.123	80"
"2	13	4	987.654.432.123	8080"
"3	13	328	987.654.432.123	8000"
"4	13	108	987.654.432.123	7000"
"5	13	415	987.654.432.123	9000"
"6	13	901	987.654.432.123	8888"
"7	13	450	987.654.432.123	80"
"1	14	306	456.423.0.124	80"
"2	14	633	456.423.0.124	8080"
"3	14	110	456.423.0.124	8000"
"4	14	164	456.423.0.124	7000"
"5	14	804	456.423.0.124	9000"
"6	14	552	456.423.0.124	8888"
"7	14	693	456.423.0.124	80"
"1	15	655	126.674.234.543	80"
"2	15	560	126.674.234.543	8080"
"3	15	130	126.674.234.543	8000"
"4	15	760	126.674.234.543	7000"
"5	15	626	126.674.234.543	9000"
"6	15	655	126.674.234.543	8888"
"7	15	304	126.674.234.543	80"
