day	hour	value	ip	port
1	1	164	129.432.123.3	80
2	1	413	129.432.123.3	8080
3	1	251	129.432.123.3	8000
4	1	706	129.432.123.3	7000
5	1	970	129.432.123.3	9000
6	1	393	129.432.123.3	8888
7	1	251	129.432.123.3	80
1	2	289	129.987.123.422	80
2	2	872	129.987.123.422	8080
3	2	499	129.987.123.422	8000
4	2	307	129.987.123.422	7000
5	2	785	129.987.123.422	9000
6	2	305	129.987.123.422	8888
7	2	977	129.987.123.422	80
1	3	848	987.654.432.123	80
2	3	963	987.654.432.123	8080
3	3	487	987.654.432.123	8000
4	3	47	987.654.432.123	7000
5	3	844	987.654.432.123	9000
6	3	59	987.654.432.123	8888
7	3	472	987.654.432.123	80
1	4	651	456.423.0.124	80
2	4	271	456.423.0.124	8080
3	4	765	456.423.0.124	8000
4	4	77	456.423.0.124	7000
5	4	572	456.423.0.124	9000
6	4	15	456.423.0.124	8888
7	4	399	456.423.0.124	80
1	5	951	126.674.234.543	80
2	5	701	126.674.234.543	8080
3	5	352	126.674.234.543	8000
4	5	413	126.674.234.543	7000
5	5	498	126.674.234.543	9000
6	5	438	126.674.234.543	8888
7	5	86	126.674.234.543	80
1	6	335	129.432.123.3	80
2	6	142	129.432.123.3	8080
3	6	989	129.432.123.3	8000
4	6	511	129.432.123.3	7000
5	6	740	129.432.123.3	9000
6	6	665	129.432.123.3	8888
7	6	35	129.432.123.3	80
1	7	636	129.987.123.422	80
2	7	347	129.987.123.422	8080
3	7	998	129.987.123.422	8000
4	7	126	129.987.123.422	7000
5	7	540	129.987.123.422	9000
6	7	732	129.987.123.422	8888
7	7	218	129.987.123.422	80
1	8	748	987.654.432.123	80
2	8	362	987.654.432.123	8080
3	8	549	987.654.432.123	8000
4	8	940	987.654.432.123	7000
5	8	94	987.654.432.123	9000
6	8	253	987.654.432.123	8888
7	8	411	987.654.432.123	80
1	9	198	456.423.0.124	80
2	9	207	456.423.0.124	8080
3	9	73	456.423.0.124	8000
4	9	106	456.423.0.124	7000
5	9	978	456.423.0.124	9000
6	9	798	456.423.0.124	8888
7	9	297	456.423.0.124	80
1	10	350	126.674.234.543	80
2	10	879	126.674.234.543	8080
3	10	613	126.674.234.543	8000
4	10	343	126.674.234.543	7000
5	10	678	126.674.234.543	9000
6	10	474	126.674.234.543	8888
7	10	286	126.674.234.543	80
1	11	508	129.432.123.3	80
2	11	51	129.432.123.3	8080
3	11	891	129.432.123.3	8000
4	11	443	129.432.123.3	7000
5	11	835	129.432.123.3	9000
6	11	550	129.432.123.3	8888
7	11	57	129.432.123.3	80
1	12	41	129.987.123.422	80
2	12	90	129.987.123.422	8080
3	12	322	129.987.123.422	8000
4	12	675	129.987.123.422	7000
5	12	754	129.987.123.422	9000
6	12	467	129.987.123.422	8888
7	12	844	129.987.123.422	80
1	13	919	987.654.432.123	80
2	13	850	987.654.432.123	8080
3	13	444	987.654.432.123	8000
4	13	9	987.654.432.123	7000
5	13	503	987.654.432.123	9000
6	13	734	987.654.432.123	8888
7	13	972	987.654.432.123	80
1	14	856	456.423.0.124	80
2	14	832	456.423.0.124	8080
3	14	362	456.423.0.124	8000
4	14	258	456.423.0.124	7000
5	14	17	456.423.0.124	9000
6	14	635	456.423.0.124	8888
7	14	701	456.423.0.124	80
1	15	430	126.674.234.543	80
2	15	120	126.674.234.543	8080
3	15	194	126.674.234.543	8000
4	15	404	126.674.234.543	7000
5	15	894	126.674.234.543	9000
6	15	908	126.674.234.543	8888
7	15	983	126.674.234.543	80
